Date,Port,ticker,shares,price
1/27/2026,US_live_port,DOCN,-710,60.25
1/27/2026,US_live_port,DOCS,-1349,38.96
1/27/2026,US_live_port,DOCU,7806,55.42
1/27/2026,US_live_port,DOMO,-351,6.08
1/27/2026,US_live_port,DORM,698,124.29
1/27/2026,US_live_port,DOV,-1624,207.26
1/27/2026,US_live_port,DOW,4601,27.81
1/27/2026,US_live_port,DOX,804,82.38
1/27/2026,US_live_port,DPZ,-388,413.87
1/27/2026,US_live_port,DRH,586,9.25
1/27/2026,US_live_port,DRI,-1243,196.9
1/27/2026,US_live_port,DRS,-2625,42.16
1/27/2026,US_live_port,DRVN,-11447,15.77
1/27/2026,US_live_port,DSGR,3691,28.5
1/27/2026,US_live_port,DT,6923,40.67
1/27/2026,US_live_port,DTE,-356,136.68
1/27/2026,US_live_port,DTM,55,122.82
1/27/2026,US_live_port,DUK,-3597,120.29
